x,y,z,yaw
-6.5,0,42,0
0,0,42,0
17,0,42,0
17,-17,42,0
10,-17,42,0
17,-10,42,0
17,15,42,0
17,0,42,0
10,0,42,0
10,10,42,0
10,17,42,0
10,10,42,0
0,10,42,0
-17,10,42,0
-17,17,42,0
0,17,42,0
10,17,42,0
10,5,42,0
0,-1,42,0
-8,4,42,0
-17,6,42,0
-17,17,42,0
-17,6,42,0
-12,3,42,0
-12,-2,42,0
-17,-2,42,0
-17,-8,42,0
-12,-8,42,0
-12,-12,42,0
-17,-12,42,0
-17,-17,42,0
-17,-12,42,0
-12,-12,42,0
-12,-8,42,0
-17,-8,42,0
-17,-2,42,0
-12,-2,42,0
-12,3,42,0
-6.5,3,42,0
-6.5,-12,42,0
0,-12,42,0
-6.5,-9,42,0
-6.5,-6,42,0
-6.5,0,42,0
